direction,destination,destination_code,origin,origin_code,coverage,data_type,both_1990,male_1990,female_1990,both_1995,male_1995,female_1995,both_2000,male_2000,female_2000,both_2005,male_2005,female_2005,both_2010,male_2010,female_2010,both_2015,male_2015,female_2015,both_2020,male_2020,female_2020,both_2024,male_2024,female_2024
immigrants_into_poland,Poland,616,United States of America*,840,,B R,4615,1849,2766,6144,2461,3683,8180,3277,4903,9688,4313,5375,10896,5573,5323,16179,8301,7878,25274,12763,12511,29646,14986,14660
immigrants_into_poland,Poland,616,OCEANIA,909,,B R,304,155,149,408,207,201,549,279,270,670,369,301,785,481,304,1153,664,489,1764,923,841,2079,1013,1066
immigrants_into_poland,Poland,616,Australia/New Zealand,927,,B R,304,155,149,408,207,201,549,279,270,670,369,301,785,481,304,1153,664,489,1764,923,841,2079,1013,1066
immigrants_into_poland,Poland,616,Australia*,36,,B R,304,155,149,408,207,201,549,279,270,670,369,301,785,481,304,1153,664,489,1764,923,841,2079,1013,1066
immigrants_into_poland,Poland,616,Others,2003,,B R,97085,56103,40982,68967,35592,33375,37363,17752,19611,27661,16882,10779,10739,7090,3649,50276,19480,30796,19120,9102,10018,10368,5715,4653
poles_abroad,Republic of Moldova*,498,Poland,616,,B R,471,201,270,397,175,222,325,148,177,252,118,134,175,84,91,112,55,57,46,22,24,96,46,50
poles_abroad,Romania,642,Poland,616,,B R,606,244,362,526,216,310,454,190,264,384,164,220,309,134,175,235,104,131,161,73,88,102,47,55
poles_abroad,Russian Federation,643,Poland,616,,B R,31333,15375,15958,32973,16123,16850,33418,16292,17126,31362,15137,16225,28747,13721,15026,20491,9780,10711,14463,6903,7560,9615,4589,5026
poles_abroad,Slovakia,703,Poland,616,,B,1207,360,847,2476,920,1556,4425,1731,2694,4962,1992,2970,5564,2279,3285,6721,3119,3602,7367,3530,3837,8008,3837,4171
poles_abroad,Ukraine*,804,Poland,616,,B,3718,1577,2141,3597,1585,2012,3520,1611,1909,3216,1475,1741,3068,1410,1658,3078,1417,1661,3128,1441,1687,3170,1460,1710
poles_abroad,Northern Europe,924,Poland,616,,,160022,73414,86608,146015,63688,82327,128305,53587,74718,284726,136034,148692,827738,417491,410247,1072531,552563,519968,1201034,631258,569776,1310679,702316,608363
poles_abroad,Denmark*,208,Poland,616,11,B R,8802,3344,5458,9892,3537,6355,10601,3654,6947,12066,4389,7677,26345,13005,13340,36175,18760,17415,41988,22129,19859,49767,26324,23443
poles_abroad,Estonia,233,Poland,616,,B,236,92,144,366,144,222,496,196,300,550,240,310,599,281,318,790,416,374,744,386,358,758,393,365
poles_abroad,Faroe Islands*,234,Poland,616,12,B,23,9,14,20,12,8,49,29,20,69,50,19,75,52,23,72,52,20,129,103,26,153,122,31
poles_abroad,Finland*,246,Poland,616,,B,1027,473,554,1007,477,530,987,481,506,1926,989,937,2602,1359,1243,3983,2188,1795,5018,2781,2237,5907,3274,2633
poles_abroad,Iceland,352,Poland,616,,B,265,113,152,878,389,489,1491,665,826,5895,3259,2636,10091,5737,4354,10967,5839,5128,21102,12718,8384,31868,19207,12661
poles_abroad,Ireland,372,Poland,616,,B R,489,290,199,732,434,298,2034,1206,828,40888,26143,14745,107993,57927,50066,115223,58250,56973,108755,53946,54809,102708,50232,52476
